"domainName","domainID","siteName","siteID","plotID","decimalLatitude","decimalLongitude","taxonID","family","individualandtag","hindfootLength","earLength","tailLength","totalLength","weight","logweight","sex","lifeStage","Pineda_Main_food"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"MYGA","Cricetidae","577723",20,NA,NA,NA,16,2.77258872223978,"F","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"MYGA","Cricetidae","828419",15,NA,NA,NA,18,2.89037175789616,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"MYGA","Cricetidae","932423",20,NA,NA,NA,25,3.2188758248682,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","421297",30,NA,NA,NA,29,3.36729582998647,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","R0627",30,NA,NA,NA,35,3.55534806148941,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","R0628",32,NA,NA,NA,26,3.25809653802148,"M","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","R1522",30,NA,NA,NA,31,3.43398720448515,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","R1529",31,NA,NA,NA,13,2.56494935746154,"F","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","R1568",31,NA,NA,NA,28,3.3322045101752,"M","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"NAIN","Dipodidae","R1582",30,NA,NA,NA,15,2.70805020110221,"F","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PELE","Cricetidae","R0626",20,14,80,NA,23,3.13549421592915,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PELE","Cricetidae","R2047",19,15,80,NA,25,3.2188758248682,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R0490",20,16,85,NA,24,3.17805383034795,"M","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R0626",19,15,70,NA,22,3.09104245335832,"F","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R0650",20,15,96,NA,20,2.99573227355399,"F","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R1587",20,16,86,NA,17,2.83321334405622,"F","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R1589",20,15,78,NA,17,2.83321334405622,"M","juvenile","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R2082",20,15,78.5,NA,14,2.63905732961526,"F","juvenile","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R2141",19,14,84,NA,13,2.56494935746154,"F","juvenile","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_001",44.046877,-71.305115,"PEMA","Cricetidae","R2275",20,14,NA,76,14,2.63905732961526,"F","juvenile","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"NAIN","Dipodidae","421521",32,NA,NA,NA,37,3.61091791264422,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"NAIN","Dipodidae","R1343",32,NA,NA,NA,15,2.70805020110221,"M","subadult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"NAIN","Dipodidae","R2113",31,NA,NA,NA,33,3.49650756146648,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"NAIN","Dipodidae","R2120",32,NA,NA,NA,34,3.52636052461616,"F","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"PELE","Cricetidae","OO100",21,13,76,NA,18,2.89037175789616,"M","adult","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"PELE","Cricetidae","R1313",20,14,85,NA,17,2.83321334405622,"M","juvenile","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"PELE","Cricetidae","R1332",20,15,91,NA,19,2.94443897916644,"M","juvenile","Generalist"
"Northeast","D01","Bartlett Experimental Forest","BART","BART_007",44.051112,-71.298377,"PELE","Cricetidae","R1334",20,15,103,NA,23,3.13549421592915,"M","adult","Generalist"
